revenue_target,revenue_source,revenue_category,revenue_subcategory,revenue_detail,week0,week1,week2,week3,week4
156730.0,Trong Mobifone,"Doanh thu ổn định, chuyển tiếp",Tổng cuộc gọi được ĐTV trả lời,0,28417.0,1.0,1.0,0.0,0.0
265.0,Trong Mobifone,"Doanh thu ổn định, chuyển tiếp",Inbound bán Vas,0,45.0,50.0,45.0,0.0,0.0
10.0,Trong Mobifone,Doanh thu dịch vụ mới,"Cung cấp các sản phẩm, dịch vụ của MobiFone",Doanh thu dịch vụ MobiFone E-office,100.0,0.0,0.0,0.0,0.0
10.0,Trong Mobifone,Doanh thu dịch vụ mới,"Cung cấp các sản phẩm, dịch vụ của MobiFone",Doanh thu dịch vụ tổng đài 3C,0.0,0.0,0.0,0.0,0.0
10.0,Ngoài Mobifone,Dịch vụ MobiVideo SMS,0,0,3.0,0.0,0.0,0.0,0.0
20.0,Trong Mobifone,Doanh thu dịch vụ mới,"Cung cấp các sản phẩm, dịch vụ của MobiFone",Doanh thu hoa hồng dịch vụ Mobifiber,10.0,0.0,0.0,0.0,0.0
